# STING MEP Symbols Index — general-purpose MEP plan / section / SLD annotation symbols.
# Used by MepSymbolEngine (Core/Symbols/MepSymbolEngine.cs) alongside the ISO 6412 spool
# catalogue (Data/Fabrication/STING_ISO_SYMBOLS_INDEX.csv). Each row maps a short
# symbol_code to the .rfa family produced by SymbolLibraryCreator from the matching JSON
# definition in Data/Symbols/.
#
# Columns:
#   symbol_code    — short identifier matching SymbolDefinition.Id in JSON
#   family_filename — .rfa produced by SymbolLibraryCreator (placed in _BIM_COORD/Families/Symbols/)
#   category        — discipline bucket (Mechanical / Electrical / Plumbing / FireProtection / Lighting)
#   standard        — authoring standard (CIBSE | IEC60617 | IEEE315 | BS7671 | ISO14617 | BS6465)
#   view_types      — comma-separated: Plan | Section | SLD | Fabrication | All
#   color_scheme    — preferred scheme: Corporate | BS1710 | CIBSE | IEC60617 | ASHRAE | NBS
#   paper_size_mm   — target paper-space symbol size at any view scale
#   description     — human-readable label
#
# NOTE: ISO 6412 spool symbols (piping/duct elbow, tee, valve, etc.) are NOT listed here;
# they are loaded from Data/Fabrication/STING_ISO_SYMBOLS_INDEX.csv by the same engine.
# This file covers plan-annotation and schematic symbols only.
symbol_code,family_filename,category,standard,view_types,color_scheme,paper_size_mm,description
SLD_MDB,SLD_MDB.rfa,Electrical,IEC60617,SLD,IEC60617,6.0,Main Distribution Board (MDB)
SLD_SDB,SLD_SDB.rfa,Electrical,IEC60617,SLD,IEC60617,5.0,Sub-Distribution Board (SDB)
SLD_SOCKET_FINAL_CIRCUIT,SLD_SOCKET_FINAL_CIRCUIT.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Socket Final Circuit (SLD representation)
SLD_LIGHTING_FINAL_CIRCUIT,SLD_LIGHTING_FINAL_CIRCUIT.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,Lighting Final Circuit (SLD)
SLD_LOAD_GENERAL,SLD_LOAD_GENERAL.rfa,Electrical,IEC60617,SLD,IEC60617,4.0,General Load (triangle)
#
# ── SLD symbols — IEEE 315 / ANSI Y32 (US projects) ──────────────────────────
IEEE_SLD_MCB,IEEE_SLD_MCB.rfa,Electrical,IEEE315,SLD,IEC60617,4.0,MCB — IEEE 315 Trip Breaker
IEEE_SLD_MCCB,IEEE_SLD_MCCB.rfa,Electrical,IEEE315,SLD,IEC60617,4.0,MCCB — IEEE 315 Moulded Case
IEEE_SLD_FUSE,IEEE_SLD_FUSE.rfa,Electrical,IEEE315,SLD,IEC60617,4.0,Fuse — IEEE 315 Diamond
IEEE_SLD_ISOLATOR,IEEE_SLD_ISOLATOR.rfa,Electrical,IEEE315,SLD,IEC60617,4.0,Isolator / Disconnect Switch — IEEE 315
IEEE_SLD_CONTACTOR,IEEE_SLD_CONTACTOR.rfa,Electrical,IEEE315,SLD,IEC60617,4.0,Contactor — IEEE 315
IEEE_SLD_TRANSFORMER,IEEE_SLD_TRANSFORMER.rfa,Electrical,IEEE315,SLD,IEC60617,6.0,Transformer — IEEE 315
IEEE_SLD_MOTOR,IEEE_SLD_MOTOR.rfa,Electrical,IEEE315,SLD,IEC60617,5.0,Motor — IEEE 315
IEEE_SLD_GENERATOR,IEEE_SLD_GENERATOR.rfa,Electrical,IEEE315,SLD,IEC60617,6.0,Generator — IEEE 315
