# MATERIAL_LOOKUP.csv v1.1
# Material variation lookup tables.
# Format: Category, TypeKey, Property, Value, Unit, Description
# TypeKey matches element parameter values (e.g., BLE_BRICK_BOND_TYPE_TXT).
#
# CONSUMED vs REFERENCE-ONLY (R2-2):
#   CONSUMED by the BOQ engine:
#     - DENSITY_KG_M3 / CARBON_KG_PER_M3  → MaterialLookupCsv.GetDensity/GetCarbon
#       (drive cost-mass + per-m³ embodied-carbon takeoff in BOQCostManager)
#     - STEEL_KG_PER_M3 (rebar)           → AutoRebarEstimator via ResolveAvgRatio
#   REFERENCE-ONLY (NOT auto-takeoff inputs — there is no FormulaEngine.Lookup in
#   the codebase and no cement/sand/aggregate line-item takeoff):
#     - CEMENT_BAGS_PER_M3, SAND_RATIO, AGGREGATE_RATIO, WATER_*  → manual QS use.
#       Correcting these (e.g. cement content to BS 8500) improves the table's
#       accuracy for a quantity surveyor reading it by hand, but changes NO
#       delivered BOQ quantity. The main concrete m³ line is unaffected.
#
# CONCRETE GRADES (BS 8500 / UNBS)
# TypeKey sourced from: BLE_STRUCT_CONCRETE_GRADE_TXT
Category,TypeKey,Property,Value,Unit,Description
# TypeKey sourced from: BLE_ROOF_LOAD_CLASS_TXT
PURLIN,LIGHT,SPACING_M,1.8,m,Light load (aluminium sheets)
PURLIN,MEDIUM,SPACING_M,1.2,m,Medium load (steel corrugated)
PURLIN,HEAVY,SPACING_M,0.8,m,Heavy load (concrete tiles)
PURLIN,DEFAULT,SPACING_M,1.2,m,Default: medium load
#
# FORMWORK TYPES
# TypeKey sourced from: CST_FORMWORK_TYPE_TXT
FORMWORK,SLAB,TIMBER_THICKNESS_M,0.020,m,Slab soffit formwork (20mm ply)
FORMWORK,SLAB,PROPS_PER_M2,0.67,,Props per m² (1 per 1.5m²)
FORMWORK,SLAB,RELEASE_AGENT_M2_PER_L,30,m²/L,Release agent coverage
FORMWORK,BEAM,TIMBER_THICKNESS_M,0.025,m,Beam formwork (25mm timber)
FORMWORK,BEAM,PROPS_PER_M2,1.0,,Props per m²
FORMWORK,BEAM,RELEASE_AGENT_M2_PER_L,25,m²/L,Release agent coverage
FORMWORK,COLUMN,TIMBER_THICKNESS_M,0.020,m,Column formwork (20mm ply)
FORMWORK,COLUMN,PROPS_PER_M2,0,,No props (self-standing)
FORMWORK,COLUMN,RELEASE_AGENT_M2_PER_L,25,m²/L,Release agent coverage
FORMWORK,FOUNDATION,TIMBER_THICKNESS_M,0.025,m,Foundation formwork (25mm)
FORMWORK,FOUNDATION,PROPS_PER_M2,0,,No props
FORMWORK,FOUNDATION,RELEASE_AGENT_M2_PER_L,30,m²/L,Release agent coverage
FORMWORK,DEFAULT,TIMBER_THICKNESS_M,0.025,m,Default: 25mm
FORMWORK,DEFAULT,PROPS_PER_M2,0.67,,Default: 1 per 1.5m²
FORMWORK,DEFAULT,RELEASE_AGENT_M2_PER_L,30,m²/L,Default coverage
#
# SAND BULKING (by moisture class)
# TypeKey sourced from: CST_SAND_MOISTURE_TXT
SAND,DRY,BULKING_FACTOR,1.00,,Dry sand — no bulking ~0% per CIRIA/IS 2386
SAND,DAMP,BULKING_FACTOR,1.30,,Damp sand — peak bulking +30% per CIRIA/IS 2386
SAND,WET,BULKING_FACTOR,1.05,,Saturated/wet sand collapses to ~0 — +5% upper per CIRIA/IS 2386
SAND,DEFAULT,BULKING_FACTOR,1.25,,Default: damp-site average +25%
#
# PLYWOOD SHEET SIZES
# TypeKey sourced from: CST_PLYWOOD_SIZE_TXT
PLYWOOD,STANDARD,AREA_M2,2.88,m²/sheet,1220×2440mm (4×8 ft)
PLYWOOD,LARGE,AREA_M2,4.50,m²/sheet,1500×3000mm
PLYWOOD,METRIC,AREA_M2,3.00,m²/sheet,1500×2000mm
PLYWOOD,DEFAULT,AREA_M2,2.88,m²/sheet,Default: standard 4×8
#
# PUTTY APPLICATION (by surface condition)
# TypeKey sourced from: BLE_SURFACE_CONDITION_TXT
PUTTY,SMOOTH,KG_PER_M2,0.8,kg/m²,Smooth surface (minimal filling)
PUTTY,FAIR,KG_PER_M2,1.2,kg/m²,Fair-faced surface
PUTTY,ROUGH,KG_PER_M2,1.8,kg/m²,Rough surface (moderate filling)
PUTTY,VERY_ROUGH,KG_PER_M2,2.5,kg/m²,Very rough surface (heavy filling)
PUTTY,DEFAULT,KG_PER_M2,1.5,kg/m²,Default: medium surface
#
# ── METALS / GLASS / TIMBER (Z-24b — ICE v3.0, parity with Z-20/Z-25 BLE/MEP per-row) ──
# Populate-only. Resolver still consults material-params first (Z-24b STEP 3 reorder is
# a SEPARATE, sign-off-gated PR) so these rows change NO delivered number today.
STEEL,STRUCTURAL,CARBON_KG_PER_M3,12090,kgCO₂/m³,ICE v3.0 structural steel 1.54 kg/kg × 7850 (= Z-20 plain steel)
STEEL,STRUCTURAL,DENSITY_KG_M3,7850,kg/m³,Steel density
STEEL,GALVANISED,CARBON_KG_PER_M3,22372,kgCO₂/m³,ICE v3.0 galvanised sheet 2.85 kg/kg × 7850 (= Z-20 galv duct)
STEEL,GALVANISED,DENSITY_KG_M3,7850,kg/m³,Steel density
STEEL,STAINLESS,CARBON_KG_PER_M3,48278,kgCO₂/m³,ICE/worldsteel austenitic stainless 6.15 kg/kg × 7850 (≈4× plain steel)
STEEL,STAINLESS,DENSITY_KG_M3,7850,kg/m³,Steel density
COPPER,DEFAULT,CARBON_KG_PER_M3,31360,kgCO₂/m³,ICE v3.0 copper 3.50 kg/kg × 8960 (= Z-20 copper pipe)
COPPER,DEFAULT,DENSITY_KG_M3,8960,kg/m³,Copper density
GLASS,FLOAT,CARBON_KG_PER_M3,3600,kgCO₂/m³,ICE v3.0 general glass 1.44 kg/kg × 2500 (= Z-20 float glass)
GLASS,FLOAT,DENSITY_KG_M3,2500,kg/m³,Float glass density
TIMBER,SOFTWOOD,CARBON_FOSSIL_KG_M3,126,kgCO₂/m³,ICE v3.0 sawn softwood A1-A3 fossil 0.263 kg/kg × 480
TIMBER,SOFTWOOD,CARBON_BIOGENIC_KG_M3,-787,kgCO₂/m³,ICE v3.0 sequestration -1.64 kg/kg × 480
TIMBER,SOFTWOOD,CARBON_KG_PER_M3,-661,kgCO₂/m³,net = fossil + biogenic (Z-25 split)
TIMBER,SOFTWOOD,DENSITY_KG_M3,480,kg/m³,corrected softwood density (CIBSE 420-550, Z-23)
