# v2.8 | 20260227 | MR_SCHEDULES – All 1257 rows, all 16 cols fully populated
Record_Type,Source_File,Discipline,Schedule_Name,Category,Schedule_Type,Multi_Categories,Fields,Filters,Sorting,Grouping,Totals,Formulas,Header_Color,Text_Color,Background_Color
VG_OVERRIDE,Lighting Details,VG Override,Lighting Details,Electrical Fixtures,VG Override,Lighting Fixtures; Electrical Fixtures; Ceilings,"Visible=Yes, ProjRGB(255,160,0), ProjW=3, CutRGB(255,160,0), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Lighting Details,VG Override,Lighting Details,Ceilings,VG Override,Lighting Fixtures; Electrical Fixtures; Ceilings,"Visible=Yes, ProjRGB(240,240,240), ProjW=1, CutRGB(240,240,240), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=10%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=10%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Only,VG Override,Power Only,Electrical Equipment,VG Override,Electrical Equipment; Electrical Fixtures; Cable Trays; Conduits; Walls; Lighting Fixtures,"Visible=Yes, ProjRGB(255,69,0), ProjW=4, CutRGB(255,69,0), CutW=4, SurfPat=Solid Fill, SurfRGB(255,200,150), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Only,VG Override,Power Only,Electrical Fixtures,VG Override,Electrical Equipment; Electrical Fixtures; Cable Trays; Conduits; Walls; Lighting Fixtures,"Visible=Yes, ProjRGB(255,140,0), ProjW=2, CutRGB(255,140,0), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Only,VG Override,Power Only,Cable Trays,VG Override,Electrical Equipment; Electrical Fixtures; Cable Trays; Conduits; Walls; Lighting Fixtures,"Visible=Yes, ProjRGB(255,140,0), ProjW=3, CutRGB(255,140,0), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Only,VG Override,Power Only,Conduits,VG Override,Electrical Equipment; Electrical Fixtures; Cable Trays; Conduits; Walls; Lighting Fixtures,"Visible=Yes, ProjRGB(255,100,50), ProjW=2, CutRGB(255,100,50), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Only,VG Override,Power Only,Walls,VG Override,Electrical Equipment; Electrical Fixtures; Cable Trays; Conduits; Walls; Lighting Fixtures,"Visible=Yes, ProjRGB(200,200,200), ProjW=1, CutRGB(200,200,200), CutW=1, SurfPat=None, SurfRGB(255,255,255), Transp=40%, Halftone=Yes",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=40%, Halftone=Yes, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Only,VG Override,Power Only,Lighting Fixtures,VG Override,Electrical Equipment; Electrical Fixtures; Cable Trays; Conduits; Walls; Lighting Fixtures,"Visible=No, ProjRGB(,,), ProjW=, CutRGB(,,), CutW=, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=No",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Details,VG Override,Power Details,Electrical Equipment,VG Override,Electrical Equipment; Cable Trays; Conduits,"Visible=Yes, ProjRGB(255,50,0), ProjW=4, CutRGB(255,50,0), CutW=5, SurfPat=Solid Fill, SurfRGB(255,180,130), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Details,VG Override,Power Details,Cable Trays,VG Override,Electrical Equipment; Cable Trays; Conduits,"Visible=Yes, ProjRGB(255,120,0), ProjW=3, CutRGB(255,120,0), CutW=3, SurfPat=Solid Fill, SurfRGB(255,200,160), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Power Details,VG Override,Power Details,Conduits,VG Override,Electrical Equipment; Cable Trays; Conduits,"Visible=Yes, ProjRGB(255,80,30), ProjW=3, CutRGB(255,80,30), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Cable Tray Only,VG Override,Cable Tray Only,Cable Trays,VG Override,Cable Trays; Cable Tray Fittings; Walls; Ducts,"Visible=Yes, ProjRGB(255,140,0), ProjW=4, CutRGB(255,140,0), CutW=4, SurfPat=Solid Fill, SurfRGB(255,220,180), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Cable Tray Only,VG Override,Cable Tray Only,Cable Tray Fittings,VG Override,Cable Trays; Cable Tray Fittings; Walls; Ducts,"Visible=Yes, ProjRGB(255,140,0), ProjW=3, CutRGB(255,140,0), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Cable Tray Only,VG Override,Cable Tray Only,Walls,VG Override,Cable Trays; Cable Tray Fittings; Walls; Ducts,"Visible=Yes, ProjRGB(200,200,200), ProjW=1, CutRGB(200,200,200), CutW=1, SurfPat=None, SurfRGB(255,255,255), Transp=50%, Halftone=Yes",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=50%, Halftone=Yes, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Cable Tray Only,VG Override,Cable Tray Only,Ducts,VG Override,Cable Trays; Cable Tray Fittings; Walls; Ducts,"Visible=Yes, ProjRGB(180,180,180), ProjW=1, CutRGB(180,180,180), CutW=1, SurfPat=None, SurfRGB(255,255,255), Transp=40%, Halftone=Yes",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=40%, Halftone=Yes, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Data Only,VG Override,Data Only,Communication Devices,VG Override,Communication Devices; Data Devices; Cable Trays; Walls,"Visible=Yes, ProjRGB(0,191,255), ProjW=3, CutRGB(0,191,255), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Data Only,VG Override,Data Only,Data Devices,VG Override,Communication Devices; Data Devices; Cable Trays; Walls,"Visible=Yes, ProjRGB(0,191,255), ProjW=3, CutRGB(0,191,255), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Data Only,VG Override,Data Only,Cable Trays,VG Override,Communication Devices; Data Devices; Cable Trays; Walls,"Visible=Yes, ProjRGB(0,206,209), ProjW=2, CutRGB(0,206,209), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Data Only,VG Override,Data Only,Walls,VG Override,Communication Devices; Data Devices; Cable Trays; Walls,"Visible=Yes, ProjRGB(200,200,200), ProjW=1, CutRGB(200,200,200), CutW=1, SurfPat=None, SurfRGB(255,255,255), Transp=40%, Halftone=Yes",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=40%, Halftone=Yes, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Fire Alarm,VG Override,Fire Alarm,Fire Alarm Devices,VG Override,Fire Alarm Devices; Electrical Equipment; Conduits; Walls,"Visible=Yes, ProjRGB(255,0,0), ProjW=3, CutRGB(255,0,0), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Fire Alarm,VG Override,Fire Alarm,Electrical Equipment,VG Override,Fire Alarm Devices; Electrical Equipment; Conduits; Walls,"Visible=Yes, ProjRGB(255,50,50), ProjW=2, CutRGB(255,50,50), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Fire Alarm,VG Override,Fire Alarm,Conduits,VG Override,Fire Alarm Devices; Electrical Equipment; Conduits; Walls,"Visible=Yes, ProjRGB(255,100,100), ProjW=2, CutRGB(255,100,100), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Fire Alarm,VG Override,Fire Alarm,Walls,VG Override,Fire Alarm Devices; Electrical Equipment; Conduits; Walls,"Visible=Yes, ProjRGB(200,200,200), ProjW=1, CutRGB(200,200,200), CutW=1, SurfPat=None, SurfRGB(255,255,255), Transp=40%, Halftone=Yes",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=40%, Halftone=Yes, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Furniture Layout,VG Override,Furniture Layout,Furniture,VG Override,Furniture; Furniture Systems; Casework; Walls; Doors,"Visible=Yes, ProjRGB(64,64,64), ProjW=2, CutRGB(64,64,64), CutW=2, SurfPat=Solid Fill, SurfRGB(230,230,230), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Furniture Layout,VG Override,Furniture Layout,Furniture Systems,VG Override,Furniture; Furniture Systems; Casework; Walls; Doors,"Visible=Yes, ProjRGB(64,64,64), ProjW=2, CutRGB(64,64,64), CutW=2, SurfPat=Solid Fill, SurfRGB(230,230,230), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Furniture Layout,VG Override,Furniture Layout,Casework,VG Override,Furniture; Furniture Systems; Casework; Walls; Doors,"Visible=Yes, ProjRGB(80,80,80), ProjW=2, CutRGB(80,80,80), CutW=2, SurfPat=Solid Fill, SurfRGB(240,225,200), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Furniture Layout,VG Override,Furniture Layout,Walls,VG Override,Furniture; Furniture Systems; Casework; Walls; Doors,"Visible=Yes, ProjRGB(160,160,160), ProjW=1, CutRGB(160,160,160), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=20%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=20%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Furniture Layout,VG Override,Furniture Layout,Doors,VG Override,Furniture; Furniture Systems; Casework; Walls; Doors,"Visible=Yes, ProjRGB(128,128,128), ProjW=1, CutRGB(128,128,128), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=20%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=20%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Equipment Only,VG Override,Equipment Only,Mechanical Equipment,VG Override,Mechanical Equipment; Electrical Equipment; Plumbing Fixtures; Walls,"Visible=Yes, ProjRGB(128,0,128), ProjW=4, CutRGB(128,0,128), CutW=4, SurfPat=Solid Fill, SurfRGB(220,200,240), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Equipment Only,VG Override,Equipment Only,Electrical Equipment,VG Override,Mechanical Equipment; Electrical Equipment; Plumbing Fixtures; Walls,"Visible=Yes, ProjRGB(255,69,0), ProjW=3, CutRGB(255,69,0), CutW=3, SurfPat=Solid Fill, SurfRGB(255,200,150), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Equipment Only,VG Override,Equipment Only,Plumbing Fixtures,VG Override,Mechanical Equipment; Electrical Equipment; Plumbing Fixtures; Walls,"Visible=Yes, ProjRGB(0,150,220), ProjW=3, CutRGB(0,150,220), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Equipment Only,VG Override,Equipment Only,Walls,VG Override,Mechanical Equipment; Electrical Equipment; Plumbing Fixtures; Walls,"Visible=Yes, ProjRGB(200,200,200), ProjW=1, CutRGB(200,200,200), CutW=1, SurfPat=None, SurfRGB(255,255,255), Transp=50%, Halftone=Yes",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=50%, Halftone=Yes, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Coordination,VG Override,Coordination,Ducts,VG Override,Ducts; Pipes; Cable Trays; Structural Framing; Walls,"Visible=Yes, ProjRGB(0,176,80), ProjW=3, CutRGB(0,176,80), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Coordination,VG Override,Coordination,Pipes,VG Override,Ducts; Pipes; Cable Trays; Structural Framing; Walls,"Visible=Yes, ProjRGB(0,112,192), ProjW=3, CutRGB(0,112,192), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Coordination,VG Override,Coordination,Cable Trays,VG Override,Ducts; Pipes; Cable Trays; Structural Framing; Walls,"Visible=Yes, ProjRGB(255,140,0), ProjW=3, CutRGB(255,140,0), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Coordination,VG Override,Coordination,Structural Framing,VG Override,Ducts; Pipes; Cable Trays; Structural Framing; Walls,"Visible=Yes, ProjRGB(0,80,160), ProjW=3, CutRGB(0,80,160), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Coordination,VG Override,Coordination,Walls,VG Override,Ducts; Pipes; Cable Trays; Structural Framing; Walls,"Visible=Yes, ProjRGB(180,180,180), ProjW=1, CutRGB(180,180,180), CutW=2, SurfPat=None, SurfRGB(255,255,255), Transp=30%, Halftone=Yes",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=30%, Halftone=Yes, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Materials,VG Override,Materials,Walls,VG Override,Walls; Floors; Ceilings; Doors; Windows,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=5, SurfPat=Solid Fill, SurfRGB(245,245,245), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Materials,VG Override,Materials,Floors,VG Override,Walls; Floors; Ceilings; Doors; Windows,"Visible=Yes, ProjRGB(0,0,0), ProjW=2, CutRGB(0,0,0), CutW=4, SurfPat=Solid Fill, SurfRGB(235,235,235), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Materials,VG Override,Materials,Ceilings,VG Override,Walls; Floors; Ceilings; Doors; Windows,"Visible=Yes, ProjRGB(0,0,0), ProjW=2, CutRGB(0,0,0), CutW=3, SurfPat=Solid Fill, SurfRGB(250,250,250), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Materials,VG Override,Materials,Doors,VG Override,Walls; Floors; Ceilings; Doors; Windows,"Visible=Yes, ProjRGB(0,0,0), ProjW=2, CutRGB(0,0,0), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Materials,VG Override,Materials,Windows,VG Override,Walls; Floors; Ceilings; Doors; Windows,"Visible=Yes, ProjRGB(0,0,192), ProjW=2, CutRGB(0,0,192), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Construction Details,VG Override,Construction Details,Walls,VG Override,Walls; Floors; Structural Framing,"Visible=Yes, ProjRGB(0,0,0), ProjW=4, CutRGB(0,0,0), CutW=5, SurfPat=Solid Fill, SurfRGB(250,250,250), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Construction Details,VG Override,Construction Details,Floors,VG Override,Walls; Floors; Structural Framing,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=Solid Fill, SurfRGB(240,240,240), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Construction Details,VG Override,Construction Details,Structural Framing,VG Override,Walls; Floors; Structural Framing,"Visible=Yes, ProjRGB(0,112,192), ProjW=3, CutRGB(0,112,192), CutW=4, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Joinery Details,VG Override,Joinery Details,Doors,VG Override,Doors; Windows; Casework; Walls,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=Solid Fill, SurfRGB(245,230,200), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Joinery Details,VG Override,Joinery Details,Windows,VG Override,Doors; Windows; Casework; Walls,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Joinery Details,VG Override,Joinery Details,Casework,VG Override,Doors; Windows; Casework; Walls,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=Solid Fill, SurfRGB(250,235,210), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Joinery Details,VG Override,Joinery Details,Walls,VG Override,Doors; Windows; Casework; Walls,"Visible=Yes, ProjRGB(160,160,160), ProjW=2, CutRGB(160,160,160), CutW=3, SurfPat=None, SurfRGB(255,255,255), Transp=20%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=20%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Joinery,VG Override,Joinery,Doors,VG Override,Doors; Windows; Casework,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=Solid Fill, SurfRGB(245,230,200), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Joinery,VG Override,Joinery,Windows,VG Override,Doors; Windows; Casework,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=None, SurfRGB(255,255,255), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Joinery,VG Override,Joinery,Casework,VG Override,Doors; Windows; Casework,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=Solid Fill, SurfRGB(250,235,210), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Assembly,VG Override,Assembly,Walls,VG Override,Walls; Floors; Roofs,"Visible=Yes, ProjRGB(0,0,0), ProjW=4, CutRGB(0,0,0), CutW=5, SurfPat=Solid Fill, SurfRGB(250,250,250), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Assembly,VG Override,Assembly,Floors,VG Override,Walls; Floors; Roofs,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=Solid Fill, SurfRGB(245,245,245), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Assembly,VG Override,Assembly,Roofs,VG Override,Walls; Floors; Roofs,"Visible=Yes, ProjRGB(0,0,0), ProjW=3, CutRGB(0,0,0), CutW=4, SurfPat=Solid Fill, SurfRGB(240,240,240), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Connections,VG Override,Connections,Structural Framing,VG Override,Structural Framing; Structural Columns; Structural Connections,"Visible=Yes, ProjRGB(0,100,180), ProjW=4, CutRGB(0,100,180), CutW=5, SurfPat=Solid Fill, SurfRGB(200,220,250), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
VG_OVERRIDE,Connections,VG Override,Connections,Structural Columns,VG Override,Structural Framing; Structural Columns; Structural Connections,"Visible=Yes, ProjRGB(0,112,192), ProjW=4, CutRGB(0,112,192), CutW=5, SurfPat=Solid Fill, SurfRGB(190,210,245), Transp=0%, Halftone=No",N/A,Scheme_Name: Ascending; Category: Ascending,Scheme_Name,Count: Yes,"SurfPat=Solid Fill, Transparency=0%, Halftone=No, Visible=Yes",#4E2D7C,#FFFFFF,#FFFFFF
